웨이퍼ID,검사일,라인,챔버온도,챔버압력,증착두께,세정농도,파티클수,판정
WF-0103,2026-09-03,1라인,63.6,4.36,100.4,1.08,19,합격
WF-0104,2026-09-03,2라인,65.7,3.18,95.3,0.96,53,합격
WF-0105,2026-09-03,3라인,73.6,2.88,94.4,1.63,8,불합격
WF-0106,2026-09-03,1라인,64.1,4.58,99.3,1.21,12,합격
WF-0107,2026-09-03,2라인,63.2,4.55,101.4,1.22,9,합격
WF-0108,2026-09-03,3라인,65.1,3.2,96.8,1.06,3,합격
WF-0109,2026-09-03,1라인,65.0,3.33,97.1,1.16,54,합격
WF-0110,2026-09-03,2라인,64.9,3.08,97.4,1.39,36,합격
WF-0111,2026-09-03,3라인,66.3,4.04,94.0,1.15,23,합격
WF-0112,2026-09-03,1라인,64.1,4.15,99.2,0.96,5,합격
WF-0113,2026-09-03,2라인,68.2,4.4,107.5,1.05,13,불합격
WF-0114,2026-09-03,3라인,65.2,4.66,96.5,1.37,4,합격
WF-0115,2026-09-03,1라인,64.4,4.32,98.4,1.48,8,합격
WF-0116,2026-09-03,2라인,65.7,4.52,95.4,0.96,4,합격
WF-0117,2026-09-03,3라인,65.8,4.06,95.2,1.29,15,합격
WF-0118,2026-09-03,1라인,64.6,3.62,98.0,0.92,4,합격
WF-0119,2026-09-03,2라인,64.9,4.32,97.4,1.1,11,합격
WF-0120,2026-09-03,3라인,64.4,3.96,98.5,1.45,13,합격
WF-0121,2026-09-03,1라인,65.8,3.14,95.1,1.03,11,합격
WF-0122,2026-09-03,2라인,64.0,3.32,99.5,1.14,15,합격
WF-0123,2026-09-03,3라인,65.2,4.46,96.7,1.15,18,합격
WF-0124,2026-09-03,1라인,65.4,3.76,96.1,1.17,12,합격
WF-0125,2026-09-03,2라인,68.5,5.03,95.7,1.07,25,불합격
WF-0126,2026-09-03,3라인,68.8,3.58,98.8,1.11,8,합격
WF-0127,2026-09-03,1라인,64.9,2.95,97.4,0.77,9,합격
WF-0128,2026-09-04,2라인,65.5,4.21,95.8,0.92,0,합격
WF-0129,2026-09-04,3라인,64.5,4.25,98.3,1.12,4,합격
WF-0130,2026-09-04,1라인,65.4,3.16,96.2,1.45,17,합격
WF-0131,2026-09-04,2라인,68.5,4.3,95.8,1.49,18,불합격
WF-0132,2026-09-04,3라인,64.3,2.73,98.9,1.17,13,합격
WF-0133,2026-09-04,1라인,64.8,4.12,97.6,1.12,0,합격
WF-0134,2026-09-04,2라인,65.4,4.66,96.0,1.22,22,합격
WF-0135,2026-09-04,3라인,66.9,4.5,92.5,0.96,16,합격
WF-0136,2026-09-04,1라인,64.2,4.38,99.1,0.86,9,합격
WF-0137,2026-09-04,2라인,64.6,4.3,98.0,1.3,1,합격
WF-0138,2026-09-04,3라인,64.1,3.19,99.3,1.17,12,합격
WF-0139,2026-09-04,1라인,64.6,3.49,98.2,1.3,3,합격
WF-0140,2026-09-04,2라인,65.3,4.42,96.3,1.58,19,합격
WF-0141,2026-09-04,3라인,73.3,4.64,95.2,1.24,6,불합격
WF-0142,2026-09-04,1라인,71.6,3.94,96.0,1.19,12,불합격
WF-0143,2026-09-04,2라인,65.0,4.08,97.2,1.16,17,합격
WF-0144,2026-09-04,3라인,64.7,3.16,97.9,1.26,7,합격
WF-0145,2026-09-04,1라인,64.3,3.98,98.9,1.0,5,합격
WF-0146,2026-09-04,2라인,69.1,2.33,98.2,1.12,9,합격
WF-0147,2026-09-04,3라인,68.0,8.29,100.9,0.87,1,합격
WF-0148,2026-09-04,1라인,66.4,4.26,93.6,1.07,20,합격
WF-0149,2026-09-04,2라인,65.0,4.31,97.1,1.03,38,합격
WF-0150,2026-09-04,3라인,65.0,4.46,97.1,0.98,0,합격
WF-0151,2026-09-04,1라인,65.4,3.61,96.0,1.3,9,합격
WF-0152,2026-09-04,2라인,65.4,4.51,96.1,1.2,29,합격
WF-0153,2026-09-04,3라인,64.1,4.4,99.4,1.17,8,합격
WF-0154,2026-09-04,1라인,64.7,4.27,97.9,0.92,5,합격
WF-0155,2026-09-04,2라인,65.2,4.86,96.6,1.02,15,합격
WF-0156,2026-09-04,3라인,65.9,4.41,101.2,1.33,0,합격
WF-0157,2026-09-04,1라인,69.6,3.22,96.9,1.46,18,합격
WF-0158,2026-09-04,2라인,67.1,4.28,103.1,1.2,5,합격
WF-0159,2026-09-04,3라인,65.9,3.93,95.0,1.46,7,합격
WF-0160,2026-09-04,1라인,65.5,4.55,95.9,0.66,6,합격
WF-0161,2026-09-04,2라인,65.6,2.97,95.7,1.25,5,합격
WF-0162,2026-09-04,3라인,63.6,4.35,100.4,1.13,4,합격
WF-0163,2026-09-04,1라인,65.7,3.0,95.4,1.37,7,합격
WF-0164,2026-09-04,2라인,65.0,4.12,97.1,1.57,0,합격
WF-0165,2026-09-04,3라인,71.2,4.77,93.2,1.6,5,합격
WF-0166,2026-09-04,1라인,65.8,3.24,95.2,1.38,2,합격
WF-0167,2026-09-04,2라인,68.4,4.32,99.8,1.02,9,합격
WF-0168,2026-09-04,3라인,66.2,4.5,94.2,1.0,15,합격
WF-0169,2026-09-04,1라인,64.0,2.9,99.6,1.59,15,합격
WF-0170,2026-09-05,2라인,65.2,4.3,96.5,1.51,16,합격
WF-0171,2026-09-05,3라인,65.1,3.07,96.8,1.01,17,합격
WF-0172,2026-09-05,1라인,65.0,2.57,97.2,1.16,26,합격
WF-0173,2026-09-05,2라인,71.0,3.42,100.8,0.96,8,불합격
WF-0174,2026-09-05,3라인,68.1,4.23,96.6,1.81,19,불합격
WF-0175,2026-09-05,1라인,68.0,4.08,96.9,1.52,40,불합격
WF-0176,2026-09-05,2라인,65.7,3.02,95.3,1.3,28,합격
WF-0177,2026-09-05,3라인,69.6,2.44,97.1,0.95,10,합격
WF-0178,2026-09-05,1라인,64.2,4.61,99.1,1.62,18,합격
WF-0179,2026-09-05,2라인,65.4,2.93,96.2,1.6,20,합격
WF-0180,2026-09-05,3라인,64.8,3.18,97.7,1.23,28,합격
WF-0181,2026-09-05,1라인,64.9,4.52,97.4,1.18,12,합격
WF-0182,2026-09-05,2라인,65.7,4.17,95.5,1.06,31,합격
WF-0183,2026-09-05,3라인,67.1,4.28,103.0,0.88,5,합격
WF-0184,2026-09-05,1라인,71.1,3.05,100.4,0.92,3,불합격
WF-0185,2026-09-05,2라인,70.3,4.31,95.3,1.75,12,합격
WF-0186,2026-09-05,3라인,64.3,4.18,98.9,1.13,9,합격
WF-0187,2026-09-05,1라인,67.4,5.01,98.3,0.87,0,불합격
WF-0188,2026-09-05,2라인,68.8,3.98,94.9,1.06,10,불합격
WF-0189,2026-09-05,3라인,69.0,4.98,98.6,0.94,20,합격
WF-0190,2026-09-05,1라인,66.4,2.72,93.6,1.2,7,합격
WF-0191,2026-09-05,2라인,62.7,3.07,102.7,0.89,8,합격
WF-0192,2026-09-05,3라인,64.3,4.18,98.8,1.24,30,합격
WF-0193,2026-09-05,1라인,67.9,4.35,101.1,1.33,9,합격
WF-0194,2026-09-05,2라인,65.4,4.42,96.1,1.11,6,합격
WF-0195,2026-09-05,3라인,67.8,4.67,101.3,1.1,6,합격
WF-0196,2026-09-05,1라인,65.5,2.92,96.0,0.99,53,합격
WF-0197,2026-09-05,2라인,64.3,4.47,98.8,1.52,51,합격
WF-0198,2026-09-05,3라인,63.5,2.93,100.8,1.23,4,합격
WF-0199,2026-09-05,1라인,74.3,3.05,92.8,0.97,21,불합격
WF-0200,2026-09-05,2라인,63.2,4.6,101.4,1.21,8,합격
WF-0201,2026-09-05,3라인,70.7,4.06,94.4,1.01,7,합격
WF-0202,2026-09-05,1라인,65.2,4.64,96.5,1.41,6,합격
WF-0203,2026-09-05,2라인,66.2,3.92,94.1,1.16,24,합격
WF-0204,2026-09-05,3라인,65.8,4.37,95.2,0.83,5,합격
WF-0205,2026-09-05,1라인,64.4,4.09,98.6,1.22,4,합격
WF-0206,2026-09-05,2라인,68.1,3.2,107.8,1.31,8,불합격
WF-0207,2026-09-05,3라인,66.1,3.03,94.5,1.06,35,합격
WF-0208,2026-09-05,1라인,68.2,4.77,100.3,1.34,7,합격
WF-0209,2026-09-05,2라인,63.8,4.48,100.1,1.12,5,합격
WF-0210,2026-09-05,3라인,67.5,3.13,91.1,0.86,5,합격
WF-0211,2026-09-05,1라인,69.1,3.11,98.1,0.83,7,합격
WF-0212,2026-09-06,2라인,65.1,4.93,96.8,1.14,18,합격
WF-0213,2026-09-06,3라인,65.4,4.46,96.2,1.14,20,합격
WF-0214,2026-09-06,1라인,65.8,4.71,95.2,1.54,0,합격
WF-0215,2026-09-06,2라인,62.8,4.04,102.3,1.09,12,합격
WF-0216,2026-09-06,3라인,64.4,4.26,98.5,1.3,17,합격
WF-0217,2026-09-06,1라인,65.4,4.51,96.2,1.74,0,합격
WF-0218,2026-09-06,2라인,67.8,4.79,97.4,1.07,4,불합격
WF-0219,2026-09-06,3라인,64.7,4.83,97.8,1.15,39,합격
WF-0220,2026-09-06,1라인,65.5,8.14,95.8,1.12,14,합격
WF-0221,2026-09-06,2라인,64.2,4.72,99.0,0.85,0,합격
WF-0222,2026-09-06,3라인,65.7,4.12,95.3,1.38,4,합격
WF-0223,2026-09-06,1라인,70.6,4.23,94.5,0.66,8,합격
WF-0224,2026-09-06,2라인,70.8,2.97,94.0,1.25,3,합격
WF-0225,2026-09-06,3라인,69.1,4.21,98.2,0.71,9,합격
WF-0226,2026-09-06,1라인,68.2,3.11,96.5,0.96,0,불합격
WF-0227,2026-09-06,2라인,66.3,3.11,94.1,1.32,21,합격
WF-0228,2026-09-06,3라인,64.9,2.87,97.4,1.34,7,합격
WF-0229,2026-09-06,1라인,65.2,2.96,96.5,1.37,11,합격
WF-0230,2026-09-06,2라인,63.0,4.43,102.0,1.3,12,합격
WF-0231,2026-09-06,3라인,65.4,4.53,96.1,1.26,5,합격
WF-0232,2026-09-06,1라인,69.3,4.34,104.9,1.6,7,불합격
WF-0233,2026-09-06,2라인,65.5,3.97,95.8,0.76,32,합격
WF-0234,2026-09-06,3라인,67.7,4.43,97.7,0.88,16,불합격
WF-0235,2026-09-06,1라인,67.3,4.15,102.5,0.54,54,합격
WF-0236,2026-09-06,2라인,66.0,4.21,94.7,1.0,6,합격
WF-0237,2026-09-06,3라인,65.4,4.14,96.0,1.51,55,합격
WF-0238,2026-09-06,1라인,63.5,3.08,100.8,1.05,20,합격
WF-0239,2026-09-06,2라인,64.5,3.91,98.4,1.2,8,합격
WF-0240,2026-09-06,3라인,65.2,3.13,96.7,0.9,5,합격
WF-0241,2026-09-06,1라인,65.0,4.34,97.1,1.35,7,합격
WF-0242,2026-09-06,2라인,70.3,4.5,91.2,1.21,16,불합격
WF-0243,2026-09-06,3라인,69.0,4.06,98.4,0.71,5,합격
WF-0244,2026-09-06,1라인,64.6,3.11,98.1,1.44,0,합격
WF-0245,2026-09-06,2라인,68.1,4.22,96.5,1.18,17,불합격
WF-0246,2026-09-06,3라인,64.7,3.16,97.7,0.92,4,합격
WF-0247,2026-09-06,1라인,71.5,2.92,92.5,1.59,4,합격
WF-0248,2026-09-06,2라인,64.3,3.38,98.8,1.04,4,합격
WF-0249,2026-09-06,3라인,67.6,3.1,101.8,0.87,16,합격
WF-0250,2026-09-06,1라인,64.9,4.13,97.3,1.23,0,합격
WF-0251,2026-09-06,2라인,63.9,4.64,99.7,1.51,12,합격
WF-0252,2026-09-06,3라인,68.5,4.27,95.7,0.81,52,불합격
WF-0253,2026-09-06,1라인,66.0,4.29,95.7,1.15,58,합격
WF-0254,2026-09-07,2라인,63.6,4.37,100.4,1.05,43,합격
WF-0255,2026-09-07,3라인,64.7,3.96,97.9,1.14,6,합격
WF-0256,2026-09-07,1라인,74.0,4.45,93.4,1.2,8,불합격
WF-0257,2026-09-07,2라인,64.2,4.11,98.9,1.18,39,합격
WF-0258,2026-09-07,3라인,67.5,3.63,102.2,0.78,19,합격
WF-0259,2026-09-07,1라인,64.7,3.44,97.8,1.11,13,합격
WF-0260,2026-09-07,2라인,64.9,3.03,97.3,1.01,20,합격
WF-0261,2026-09-07,3라인,62.7,4.54,102.7,0.72,9,합격
WF-0262,2026-09-07,1라인,65.4,4.36,96.1,0.88,2,합격
WF-0263,2026-09-07,2라인,72.0,8.2,98.4,1.69,3,불합격
WF-0264,2026-09-07,3라인,65.3,3.93,96.4,1.27,9,합격
WF-0265,2026-09-07,1라인,66.0,4.52,94.8,1.58,5,합격
WF-0266,2026-09-07,2라인,66.9,4.32,103.6,1.58,3,합격
WF-0267,2026-09-07,3라인,64.9,4.22,97.4,1.53,4,합격
WF-0268,2026-09-07,1라인,65.3,4.51,107.4,0.85,5,합격
WF-0269,2026-09-07,2라인,65.1,4.47,96.7,1.16,11,합격
WF-0270,2026-09-07,3라인,64.1,4.43,99.3,0.97,23,합격
WF-0271,2026-09-07,1라인,64.0,4.33,99.6,0.72,3,합격
WF-0272,2026-09-07,2라인,64.7,4.25,97.7,1.08,0,합격
WF-0273,2026-09-07,3라인,66.1,4.61,94.5,1.1,43,합격
WF-0274,2026-09-07,1라인,67.9,4.12,101.2,1.33,26,합격
WF-0275,2026-09-07,2라인,65.5,2.97,95.8,0.51,42,합격
WF-0276,2026-09-07,3라인,64.8,3.92,97.5,0.72,4,합격
WF-0277,2026-09-07,1라인,63.9,4.04,99.8,1.19,0,합격
WF-0278,2026-09-07,2라인,66.0,4.43,94.6,1.26,16,합격
WF-0279,2026-09-07,3라인,65.0,3.86,97.0,1.12,0,합격
WF-0280,2026-09-07,1라인,65.4,4.43,96.2,0.9,6,합격
WF-0281,2026-09-07,2라인,64.0,3.27,99.5,0.96,15,합격
WF-0282,2026-09-07,3라인,64.2,3.84,98.9,1.12,49,합격
WF-0283,2026-09-07,1라인,71.3,4.21,92.9,0.77,8,합격
WF-0284,2026-09-07,2라인,65.3,3.26,96.2,1.03,6,합격
WF-0285,2026-09-07,3라인,65.6,4.09,95.7,0.99,3,합격
WF-0286,2026-09-07,1라인,70.0,4.36,96.1,1.17,5,합격
WF-0287,2026-09-07,2라인,64.6,3.31,98.2,1.18,2,합격
WF-0288,2026-09-07,3라인,65.1,4.35,96.8,1.34,6,합격
WF-0289,2026-09-07,1라인,64.6,4.65,98.2,1.22,12,합격
WF-0290,2026-09-07,2라인,64.1,4.39,99.3,1.51,0,합격
WF-0291,2026-09-07,3라인,65.7,5.17,95.5,1.19,0,합격
WF-0292,2026-09-07,1라인,64.7,4.05,97.7,0.78,58,합격
WF-0293,2026-09-07,2라인,64.7,3.97,97.9,1.01,5,합격
WF-0294,2026-09-07,3라인,63.7,4.42,100.1,1.08,0,합격
WF-0295,2026-09-07,1라인,65.7,4.52,95.4,1.1,5,합격
WF-0296,2026-09-07,2라인,65.1,2.35,96.9,0.93,4,합격
WF-0297,2026-09-08,3라인,65.0,3.0,97.1,1.62,60,합격
WF-0298,2026-09-08,1라인,73.9,3.09,93.7,0.76,13,불합격
WF-0299,2026-09-08,2라인,64.9,4.24,97.3,1.02,8,합격
WF-0300,2026-09-08,3라인,64.2,3.99,99.1,1.28,17,합격
WF-0301,2026-09-08,1라인,64.2,4.11,98.9,1.4,18,합격
WF-0302,2026-09-08,2라인,64.1,4.76,99.3,1.07,11,합격
WF-0303,2026-09-08,3라인,65.3,2.95,96.3,0.62,55,합격
WF-0304,2026-09-08,1라인,63.7,4.25,100.2,1.11,8,합격
WF-0305,2026-09-08,2라인,65.6,4.25,95.7,1.0,8,합격
WF-0306,2026-09-08,3라인,72.9,4.59,96.1,1.29,5,불합격
WF-0307,2026-09-08,1라인,64.7,4.74,97.8,0.71,12,합격
WF-0308,2026-09-08,2라인,64.9,2.97,97.3,1.58,11,합격
WF-0309,2026-09-08,3라인,65.2,4.66,96.7,1.48,8,합격
WF-0310,2026-09-08,1라인,65.1,3.24,96.9,1.38,14,합격
WF-0311,2026-09-08,2라인,65.4,4.56,96.1,1.41,11,합격
WF-0312,2026-09-08,3라인,64.4,4.74,98.5,1.34,16,합격
WF-0313,2026-09-08,1라인,65.2,4.34,96.7,0.76,19,합격
WF-0314,2026-09-08,2라인,65.5,4.52,95.8,0.91,20,합격
WF-0315,2026-09-08,3라인,64.3,4.33,98.7,0.94,15,합격
WF-0316,2026-09-08,1라인,69.6,3.31,97.1,1.29,11,합격
WF-0317,2026-09-08,2라인,64.1,2.77,99.3,1.63,7,합격
WF-0318,2026-09-08,3라인,64.5,4.08,98.2,1.02,4,합격
WF-0319,2026-09-08,1라인,65.0,2.88,97.2,1.0,40,합격
WF-0320,2026-09-08,2라인,64.7,4.42,97.8,1.12,12,합격
WF-0321,2026-09-08,3라인,65.2,3.28,96.7,1.36,5,합격
WF-0322,2026-09-08,1라인,66.7,3.03,93.0,1.46,19,합격
WF-0323,2026-09-08,2라인,65.8,4.85,95.0,1.13,25,합격
WF-0324,2026-09-08,3라인,62.9,3.11,102.2,1.11,10,합격
WF-0325,2026-09-08,1라인,73.1,4.21,95.7,1.08,7,불합격
WF-0326,2026-09-08,2라인,69.9,4.2,96.3,1.31,8,합격
WF-0327,2026-09-08,3라인,64.9,4.75,97.2,1.01,21,합격
WF-0328,2026-09-08,1라인,65.6,4.04,95.7,0.89,5,합격
WF-0329,2026-09-08,2라인,64.1,3.94,99.4,1.14,44,합격
WF-0330,2026-09-08,3라인,67.2,4.39,102.8,1.26,3,합격
WF-0331,2026-09-08,1라인,66.2,4.35,94.3,1.0,0,합격
WF-0332,2026-09-08,2라인,65.1,4.68,97.0,1.0,22,합격
WF-0333,2026-09-08,3라인,63.5,4.28,100.8,1.31,47,합격
WF-0334,2026-09-08,1라인,63.3,4.36,101.2,1.16,22,합격
WF-0335,2026-09-08,2라인,80.0,3.03,110.0,1.25,2,불합격
WF-0336,2026-09-08,3라인,70.6,4.5,101.7,1.2,9,불합격
WF-0337,2026-09-08,1라인,67.1,4.39,103.0,1.76,11,합격
WF-0338,2026-09-08,2라인,68.2,4.08,100.5,1.2,8,합격
WF-0339,2026-09-09,3라인,64.9,4.28,97.4,0.97,3,합격
WF-0340,2026-09-09,1라인,65.1,4.24,96.9,1.01,9,합격
WF-0341,2026-09-09,2라인,66.6,4.58,93.2,1.66,12,합격
WF-0342,2026-09-09,3라인,64.0,4.55,99.6,0.81,6,합격
WF-0343,2026-09-09,1라인,65.7,4.29,95.3,1.08,14,합격
WF-0344,2026-09-09,2라인,64.9,4.41,97.4,0.73,0,합격
WF-0345,2026-09-09,3라인,64.9,4.55,97.2,0.83,12,합격
WF-0346,2026-09-09,1라인,70.0,4.43,103.1,0.89,6,불합격
WF-0347,2026-09-09,2라인,64.2,4.47,105.9,1.57,27,합격
WF-0348,2026-09-09,3라인,64.5,3.0,98.2,1.16,11,합격
WF-0349,2026-09-09,1라인,64.8,3.13,97.7,1.02,3,합격
WF-0350,2026-09-09,2라인,64.7,3.99,97.8,0.88,16,합격
WF-0351,2026-09-09,3라인,64.1,4.3,99.4,1.6,10,합격
WF-0352,2026-09-09,1라인,67.5,4.59,98.2,1.18,21,불합격
WF-0353,2026-09-09,2라인,64.5,4.47,98.3,1.54,10,합격
WF-0354,2026-09-09,3라인,65.7,4.18,95.3,1.06,13,합격
WF-0355,2026-09-09,1라인,64.9,4.4,97.3,1.17,3,합격
WF-0356,2026-09-09,2라인,64.4,4.7,98.4,1.12,38,합격
WF-0357,2026-09-09,3라인,65.5,3.28,95.9,0.92,12,합격
WF-0358,2026-09-09,1라인,63.1,4.71,101.7,1.15,27,합격
WF-0359,2026-09-09,2라인,65.5,3.21,95.9,0.95,6,합격
WF-0360,2026-09-09,3라인,63.4,4.53,101.0,0.89,21,합격
WF-0361,2026-09-09,1라인,65.1,4.07,96.8,0.81,5,합격
WF-0362,2026-09-09,2라인,64.7,4.44,97.7,1.24,9,합격
WF-0363,2026-09-09,3라인,65.5,2.92,95.9,0.54,11,합격
WF-0364,2026-09-09,1라인,65.6,4.42,95.8,1.23,9,합격
